episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
240,108.38,224.172,28.991,1.966,21,0,1,0,56,13,1,5.55,0,16,2,3
241,124.96,279.141,32.744,4.032,24,0,1,0,62,11,4,6.0,0,17,3,4
242,114.88,209.879,31.347,4.915,22,0,1,0,52,8,2,4.35,0,15,2,5
243,69.2,181.838,29.564,5.815,20,0,0,0,52,6,0,2.4,0,14,2,4
244,111.88,176.188,33.178,6.865,21,0,1,0,48,10,1,1.65,0,14,2,5
245,69.26,202.691,32.566,10.173,20,0,0,0,58,12,0,1.5,0,18,0,2
246,104.78,249.453,29.166,2.866,22,0,1,0,61,15,2,6.3,0,21,1,0
247,100.94,187.209,32.896,4.616,21,0,1,0,52,11,1,2.55,0,15,2,4
248,114.6,209.738,28.789,1.733,22,0,1,0,51,12,2,3.0,0,14,5,3
249,69.52,153.647,39.74,2.099,20,0,0,0,46,6,0,4.95,0,12,3,5
250,107.02,194.018,25.482,1.433,21,0,1,0,49,9,1,5.1,0,16,1,4
251,109.96,188.877,24.313,1.1,21,0,1,0,53,10,1,1.5,0,17,0,4
252,127.66,219.768,36.552,9.015,22,0,1,0,59,10,2,3.0,0,14,3,5
253,121.48,187.014,32.12,8.756,21,0,1,0,52,8,1,1.65,0,14,3,4
254,69.0,165.877,24.824,2.558,20,0,0,0,48,9,0,2.1,0,13,1,6
255,109.12,215.748,27.968,3.424,21,0,1,0,54,10,1,3.0,0,17,1,3
256,68.26,159.441,31.839,6.682,20,0,0,0,48,9,0,3.0,0,14,1,5
257,104.68,202.836,24.677,1.966,21,0,1,0,52,12,1,2.85,0,16,2,3
258,113.94,214.33,34.762,12.497,21,0,1,0,61,10,1,1.95,0,18,1,2
259,110.52,229.352,42.165,9.014,22,0,1,0,53,11,2,4.95,0,17,2,3
260,131.68,272.795,31.497,2.358,23,0,1,0,64,18,3,6.6,0,16,0,7
261,102.92,210.654,26.194,2.883,21,0,1,0,58,8,1,6.0,0,15,0,6
262,65.58,178.508,25.745,4.016,20,0,0,0,54,8,0,1.35,0,15,1,4
263,115.62,196.293,23.916,1.083,21,0,1,0,56,10,1,4.5,0,13,0,8
264,114.44,182.4,31.837,6.465,21,0,1,0,50,11,1,2.1,0,15,3,3
265,100.8,193.891,28.464,4.641,21,0,1,0,56,7,1,1.5,0,14,1,6
266,170.06,313.654,30.709,0.883,25,0,2,0,70,17,5,10.2,0,19,4,2
267,130.0,199.293,24.018,1.308,21,0,1,0,56,13,1,3.0,0,15,2,4
268,124.08,217.693,28.834,1.116,21,0,1,0,54,15,1,3.9,0,18,2,1
269,69.2,148.137,24.49,1.483,20,0,0,0,48,8,0,0.0,0,10,2,8
270,125.48,321.4,34.6,7.865,25,0,1,0,76,15,5,7.5,0,18,2,5
271,128.24,277.697,27.719,2.416,23,0,1,0,70,13,3,6.0,0,19,2,2
272,113.12,263.44,29.015,0.0,23,0,1,0,62,14,3,5.4,0,16,2,5
273,111.2,214.799,28.984,3.374,21,0,1,0,58,14,1,2.85,0,18,1,2
274,118.74,251.772,30.022,5.865,22,0,1,0,62,12,2,5.85,0,18,0,4
275,101.58,184.525,25.6,2.149,21,0,1,0,50,9,1,3.0,0,15,2,4
276,115.58,233.891,26.857,0.567,22,0,1,0,56,14,2,7.2,0,18,2,2
277,98.36,215.703,24.888,2.325,21,0,1,0,55,12,1,2.55,0,15,3,3
278,134.86,234.18,33.54,3.241,22,0,1,0,61,13,2,6.45,0,16,2,4
279,124.68,308.375,27.34,1.35,24,0,1,0,75,14,4,7.05,0,17,2,5
280,113.56,217.941,30.412,4.733,22,0,1,0,51,13,2,5.4,0,17,4,1
281,123.28,265.797,28.883,1.8,23,0,1,0,67,15,3,5.4,0,19,1,3
282,106.56,251.047,29.423,1.816,23,0,1,0,63,9,3,7.65,0,14,1,8
283,117.7,232.084,24.863,1.133,22,0,1,0,61,11,2,3.0,0,18,1,3
284,116.84,268.424,27.429,1.633,23,0,1,0,62,13,3,6.75,0,15,3,5
285,112.74,272.607,31.184,3.199,23,0,1,0,60,15,3,7.65,0,19,2,3
286,106.56,181.291,25.496,2.516,21,0,1,0,50,9,1,1.95,0,15,0,6
287,106.84,210.59,33.447,10.524,21,0,1,0,56,12,1,1.5,0,15,2,4
288,111.36,215.527,27.753,2.941,22,0,1,0,58,9,2,3.0,0,16,1,5
289,69.8,180.27,23.523,0.8,20,0,0,0,46,13,0,4.35,0,15,2,3
290,112.06,197.838,29.383,3.599,21,0,1,0,54,7,1,5.7,0,17,1,3
291,69.8,186.398,31.27,3.866,20,0,0,0,50,13,0,4.35,0,17,1,2
292,118.02,198.955,36.534,12.83,21,0,1,0,52,10,1,3.75,0,17,2,2
293,107.78,214.363,29.05,2.449,22,0,1,0,53,14,2,6.0,0,12,3,7
294,113.02,245.379,28.602,2.533,22,0,1,0,62,9,2,4.5,0,19,0,3
295,129.38,213.063,26.567,2.574,21,0,1,0,52,17,1,4.8,0,15,1,5
296,112.14,246.1,34.729,5.416,22,0,1,0,59,16,2,8.55,0,17,0,5
297,66.06,185.486,24.754,2.166,20,0,0,0,51,8,0,3.3,0,14,2,4
298,67.52,161.635,39.685,17.101,20,0,0,0,47,12,0,1.5,0,14,3,3
299,116.42,248.941,26.518,1.4,22,0,1,0,65,13,2,3.0,0,17,1,4
